#t0_Mstar=3.981072e+10 (N07Mbar=5.653661e+10) t0_sfr=1.780908e+00	1.00000000000000001988462483866e+30 t0_sfr=9.220171e-01
#tlb ,red_binl[i],Mstar[i],CSFH[i],phi[i],dMLdt[i],massloss_to_t0[i], Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi	1.00000000000000001988462483866e+30 Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi
1.063590e+10 2.232064 0.000000e+00	0.000000e+00 1.086165e+09
1.062280e+10 2.222530 0.000000e+00	0.000000e+00 1.090422e+09
1.060970e+10 2.213052 0.000000e+00	0.000000e+00 1.094700e+09
1.059660e+10 2.203629 0.000000e+00	0.000000e+00 1.098999e+09
1.058350e+10 2.194282 0.000000e+00	0.000000e+00 1.103319e+09
1.057040e+10 2.185010 0.000000e+00	0.000000e+00 1.107661e+09
1.055731e+10 2.175791 0.000000e+00	0.000000e+00 1.112025e+09
1.054421e+10 2.166626 0.000000e+00	0.000000e+00 1.116410e+09
1.053111e+10 2.157534 0.000000e+00	0.000000e+00 1.120817e+09
1.051801e+10 2.148512 0.000000e+00	0.000000e+00 1.125246e+09
1.050491e+10 2.139542 4.071109e+06	0.000000e+00 1.129697e+09
1.049181e+10 2.130623 7.992626e+06	0.000000e+00 1.134170e+09
1.047872e+10 2.121773 1.334562e+07	0.000000e+00 1.138665e+09
1.046562e+10 2.112992 2.022037e+07	0.000000e+00 1.143182e+09
1.045252e+10 2.104260 2.869119e+07	0.000000e+00 1.147723e+09
1.043942e+10 2.095577 3.881979e+07	0.000000e+00 1.152285e+09
1.042632e+10 2.086957 5.065767e+07	0.000000e+00 1.156871e+09
1.041322e+10 2.078407 6.424765e+07	0.000000e+00 1.179070e+09
1.040012e+10 2.069904 7.962438e+07	0.000000e+00 1.218648e+09
1.038703e+10 2.061447 9.681576e+07	0.000000e+00 1.259333e+09
1.037393e+10 2.053045 1.158440e+08	0.000000e+00 1.301149e+09
1.036083e+10 2.044717 1.367265e+08	0.000000e+00 1.344121e+09
1.034773e+10 2.036433 1.594754e+08	0.000000e+00 1.388276e+09
1.033463e+10 2.028194 1.840984e+08	0.000000e+00 1.433639e+09
1.032153e+10 2.020000 2.105994e+08	0.000000e+00 1.480236e+09
1.030844e+10 2.011884 2.389807e+08	0.000000e+00 1.528094e+09
1.029534e+10 2.003811 2.692397e+08	0.000000e+00 1.577240e+09
1.028224e+10 1.995781 3.013713e+08	0.000000e+00 1.627346e+09
1.026914e+10 1.987794 3.353677e+08	0.000000e+00 1.678147e+09
1.025604e+10 1.979872 3.712204e+08	0.000000e+00 1.729700e+09
1.024294e+10 1.972002 4.089178e+08	0.000000e+00 1.782009e+09
1.022985e+10 1.964173 4.484463e+08	0.000000e+00 1.835074e+09
1.021675e+10 1.956386 4.897903e+08	0.000000e+00 1.888894e+09
1.020365e+10 1.948649 5.329336e+08	0.000000e+00 1.943465e+09
