#t0_Mstar=1.000000e+10 (N07Mbar=2.568469e+10) t0_sfr=7.255066e-01	1.00000000000000001988462483866e+30 t0_sfr=8.317638e-01
#tlb ,red_binl[i],Mstar[i],CSFH[i],phi[i],dMLdt[i],massloss_to_t0[i], Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi	1.00000000000000001988462483866e+30 Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi
1.025604e+10 1.979872 0.000000e+00	0.000000e+00 1.310383e+08
1.024294e+10 1.972002 0.000000e+00	0.000000e+00 1.371194e+08
1.022985e+10 1.964173 0.000000e+00	0.000000e+00 1.433697e+08
1.021675e+10 1.956386 0.000000e+00	0.000000e+00 1.497904e+08
1.020365e+10 1.948649 0.000000e+00	0.000000e+00 1.563827e+08
1.019055e+10 1.940974 0.000000e+00	0.000000e+00 1.631476e+08
1.017745e+10 1.933338 0.000000e+00	0.000000e+00 1.700860e+08
1.016435e+10 1.925742 0.000000e+00	0.000000e+00 1.771985e+08
1.015126e+10 1.918185 0.000000e+00	0.000000e+00 1.844858e+08
1.013816e+10 1.910694 0.000000e+00	0.000000e+00 1.919487e+08
1.012506e+10 1.903244 0.000000e+00	0.000000e+00 1.995877e+08
1.011196e+10 1.895832 0.000000e+00	0.000000e+00 2.074030e+08
1.009886e+10 1.888458 0.000000e+00	0.000000e+00 2.153950e+08
1.008576e+10 1.881133 0.000000e+00	0.000000e+00 2.235640e+08
1.007266e+10 1.873862 0.000000e+00	0.000000e+00 2.319104e+08
1.005957e+10 1.866627 0.000000e+00	0.000000e+00 2.404343e+08
1.004647e+10 1.859429 0.000000e+00	0.000000e+00 2.491356e+08
1.003337e+10 1.852267 0.000000e+00	0.000000e+00 2.580142e+08
1.002027e+10 1.845164 0.000000e+00	0.000000e+00 2.670704e+08
1.000717e+10 1.838100 0.000000e+00	0.000000e+00 2.763041e+08
9.994074e+09 1.831072 0.000000e+00	0.000000e+00 2.857149e+08
9.980976e+09 1.824078 0.000000e+00	0.000000e+00 2.953026e+08
9.967878e+09 1.817123 0.000000e+00	0.000000e+00 3.050669e+08
9.954779e+09 1.810224 0.000000e+00	0.000000e+00 3.150077e+08
9.941681e+09 1.803359 0.000000e+00	0.000000e+00 3.251245e+08
9.928582e+09 1.796527 0.000000e+00	0.000000e+00 3.354168e+08
9.915484e+09 1.789728 0.000000e+00	0.000000e+00 3.458840e+08
9.902386e+09 1.782974 0.000000e+00	0.000000e+00 3.565257e+08
9.889287e+09 1.776267 0.000000e+00	0.000000e+00 3.673415e+08
9.876189e+09 1.769591 0.000000e+00	0.000000e+00 3.783306e+08
9.863091e+09 1.762947 0.000000e+00	0.000000e+00 3.894922e+08
9.849992e+09 1.756335 0.000000e+00	0.000000e+00 4.008256e+08
9.836894e+09 1.749772 0.000000e+00	0.000000e+00 4.123301e+08
9.823795e+09 1.743247 0.000000e+00	0.000000e+00 4.240052e+08
9.810697e+09 1.736752 0.000000e+00	0.000000e+00 4.358497e+08
9.797599e+09 1.730289 0.000000e+00	0.000000e+00 4.478627e+08
9.784500e+09 1.723856 0.000000e+00	0.000000e+00 4.600432e+08
9.771402e+09 1.717472 0.000000e+00	0.000000e+00 4.723906e+08
9.758303e+09 1.711122 0.000000e+00	0.000000e+00 4.849038e+08
9.745205e+09 1.704802 0.000000e+00	0.000000e+00 4.975818e+08
9.732107e+09 1.698511 0.000000e+00	0.000000e+00 5.104233e+08
9.719008e+09 1.692249 0.000000e+00	0.000000e+00 5.234272e+08
9.705910e+09 1.686036 0.000000e+00	0.000000e+00 5.365928e+08
9.692811e+09 1.679854 0.000000e+00	0.000000e+00 5.499188e+08
9.679713e+09 1.673700 0.000000e+00	0.000000e+00 5.634040e+08
9.666615e+09 1.667575 0.000000e+00	0.000000e+00 5.770470e+08
